Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,5) -> (3, 4); 0; 3.911268711090088; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.29642271995544434; 12; 12
2; 1; mcts; (3,4) -> (4, 3); 0; 3.7895138263702393; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.42309999465942383; 12; 12
3; 1; mcts; (1,4) -> (2, 5); 0; 3.9474799633026123; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.5005612373352051; 12; 12
4; 1; mcts; (0,3) -> (1, 4); 0; 3.900224447250366; 12; 12
5; 0; minimax; (5,6) -> (4, 5); 0; 0.2941114902496338; 12; 12
5; 1; mcts; (2,3) -> (3, 2); 0; 3.623357057571411; 12; 12
6; 0; minimax; (5,2) -> (3, 4); 1; 0.34525084495544434; 12; 12
6; 1; mcts; (2,1) -> (3, 0); 0; 4.13805627822876; 12; 11
7; 0; minimax; (5,4) -> (4, 3); 0; 0.5655627250671387; 12; 11
7; 1; mcts; (1,2) -> (2, 1); 0; 3.932028293609619; 12; 11
8; 0; minimax; (6,7) -> (5, 6); 0; 0.7124435901641846; 12; 11
8; 1; mcts; (3,2) -> (5, 4); 1; 3.903779983520508; 12; 11
9; 0; minimax; (6,5) -> (4, 3); 1; 0.304973840713501; 11; 11
9; 1; mcts; (2,5) -> (3, 6); 0; 3.7743523120880127; 11; 10
10; 0; minimax; (7,4) -> (6, 5); 0; 0.6407933235168457; 11; 10
10; 1; mcts; (2,1) -> (3, 2); 0; 3.812851667404175; 11; 10
11; 0; minimax; (4,7) -> (2, 5); 1; 0.5059764385223389; 11; 10
11; 1; mcts; (0,1) -> (1, 2); 0; 3.71561336517334; 11; 9
12; 0; minimax; (3,4) -> (2, 3); 0; 0.7124557495117188; 11; 9
12; 1; mcts; (1,2) -> (7, 4); 2; 3.697781562805176; 11; 9
13; 0; minimax; (2,5) -> (0, 3); 1; 0.46964287757873535; 9; 9
13; 1; mcts; (3,0) -> (4, 1); 0; 3.226977586746216; 9; 8
14; 0; minimax; (7,2) -> (6, 3); 0; 0.5528347492218018; 9; 8
14; 1; mcts; (1,0) -> (2, 1); 0; 3.875103712081909; 9; 8
15; 0; minimax; (6,3) -> (5, 2); 0; 0.7102169990539551; 9; 8
15; 1; mcts; (7,4) -> (6, 3); 0; 3.1981024742126465; 9; 8
16; 0; minimax; (6,5) -> (5, 4); 0; 0.8707659244537354; 9; 8
16; 1; mcts; (3,2) -> (4, 3); 0; 3.05430006980896; 9; 8
17; 0; minimax; (5,4) -> (1, 0); 2; 0.807239294052124; 9; 8
17; 1; mcts; (6,3) -> (7, 4); 0; 2.6838345527648926; 9; 6
18; 0; minimax; (5,6) -> (4, 7); 0; 0.5074825286865234; 9; 6
18; 1; mcts; (1,6) -> (2, 5); 0; 4.321166276931763; 9; 6
19; 0; minimax; (5,2) -> (3, 0); 1; 0.7819385528564453; 9; 6
19; 1; mcts; (7,4) -> (6, 5); 0; 3.340704917907715; 9; 5
20; 0; minimax; (4,7) -> (3, 6); 0; 0.48461031913757324; 9; 5
20; 1; mcts; (2,5) -> (3, 4); 0; 2.7075326442718506; 9; 5
21; 0; minimax; (2,3) -> (1, 4); 0; 0.35313868522644043; 9; 5
21; 1; mcts; (6,5) -> (7, 4); 0; 2.769196033477783; 9; 5
22; 0; minimax; (6,1) -> (5, 2); 0; 0.22106146812438965; 9; 5
22; 1; mcts; (7,4) -> (6, 5); 0; 2.763336420059204; 9; 5
23; 0; minimax; (7,0) -> (6, 1); 0; 0.32406044006347656; 9; 5
23; 1; mcts; (6,5) -> (5, 4); 0; 2.6821579933166504; 9; 5
24; 0; minimax; (5,2) -> (4, 3); 0; 0.27765965461730957; 9; 5
24; 1; mcts; (3,4) -> (7, 0); 2; 2.8123652935028076; 9; 5
25; 0; minimax; (1,0) -> (0, 1); 0; 0.12694835662841797; 7; 5
25; 1; mcts; (5,4) -> (4, 3); 0; 2.4607863426208496; 7; 5
26; 0; minimax; (5,0) -> (4, 1); 0; 0.16808557510375977; 7; 5
26; 1; mcts; (0,5) -> (2, 3); 1; 2.501077651977539; 7; 5
27; 0; minimax; (4,5) -> (3, 4); 0; 0.24268007278442383; 6; 5
27; 1; mcts; (2,3) -> (3, 2); 0; 2.460981607437134; 6; 5
28; 0; minimax; (4,1) -> (2, 3); 1; 0.27425479888916016; 6; 5
28; 1; mcts; (7,0) -> (6, 1); 0; 2.188264846801758; 6; 4
29; 0; minimax; (3,6) -> (2, 5); 0; 0.22408366203308105; 6; 4
29; 1; mcts; (6,1) -> (7, 0); 0; 2.292999744415283; 6; 4
30; 0; minimax; (3,0) -> (2, 1); 0; 0.17514944076538086; 6; 4
30; 1; mcts; (4,3) -> (3, 2); 0; 2.211428165435791; 6; 4
31; 0; minimax; (2,5) -> (1, 6); 0; 0.16743969917297363; 6; 4
31; 1; mcts; (3,2) -> (1, 0); 1; 2.1548683643341064; 6; 4
32; 0; minimax; (1,6) -> (0, 5); 0; 0.09369635581970215; 5; 4
32; 1; mcts; (2,7) -> (3, 6); 0; 2.111496686935425; 5; 4
33; 0; minimax; (0,5) -> (1, 6); 0; 0.1123039722442627; 5; 4
33; 1; mcts; (0,7) -> (2, 5); 1; 1.9934072494506836; 5; 4
34; 0; minimax; (3,4) -> (1, 6); 1; 0.0488126277923584; 4; 4
34; 1; mcts; (3,6) -> (4, 7); 0; 1.8038487434387207; 4; 3
35; 0; minimax; (2,3) -> (1, 4); 0; 0.06741762161254883; 4; 3
35; 1; mcts; (4,7) -> (5, 6); 0; 1.7525575160980225; 4; 3
36; 0; minimax; (1,6) -> (0, 7); 0; 0.041431427001953125; 4; 3
