Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,3) -> (3, 2); 0; 2.6020941734313965; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.3036043643951416; 12; 12
2; 1; mcts; (2,1) -> (3, 0); 0; 2.4428324699401855; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.33827972412109375; 12; 12
3; 1; mcts; (2,7) -> (3, 6); 0; 2.6193654537200928; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.2925088405609131; 12; 12
4; 1; mcts; (3,2) -> (4, 3); 0; 2.820432186126709; 12; 12
5; 0; minimax; (5,6) -> (4, 5); 0; 0.21692419052124023; 12; 12
5; 1; mcts; (1,2) -> (2, 3); 0; 2.596479892730713; 12; 12
