Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,1) -> (3, 2); 0; 2.7016289234161377; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.26125311851501465; 12; 12
2; 1; mcts; (2,5) -> (3, 6); 0; 2.635521411895752; 12; 12
3; 0; minimax; (5,4) -> (4, 3); 0; 0.40393829345703125; 12; 12
3; 1; mcts; (3,2) -> (4, 1); 0; 3.255671262741089; 12; 12
4; 0; minimax; (6,7) -> (5, 6); 0; 0.530707836151123; 12; 12
4; 1; mcts; (1,4) -> (2, 5); 0; 3.5569570064544678; 12; 12
5; 0; minimax; (7,6) -> (6, 7); 0; 0.6315944194793701; 12; 12
5; 1; mcts; (0,5) -> (1, 4); 0; 3.208557605743408; 12; 12
6; 0; minimax; (6,5) -> (5, 4); 0; 0.2498619556427002; 12; 12
6; 1; mcts; (2,5) -> (3, 4); 0; 3.44653058052063; 12; 12
7; 0; minimax; (7,4) -> (6, 5); 0; 0.5702610015869141; 12; 12
7; 1; mcts; (2,3) -> (3, 2); 0; 3.9664552211761475; 12; 12
8; 0; minimax; (5,2) -> (3, 0); 1; 0.1848762035369873; 12; 12
8; 1; mcts; (3,4) -> (4, 5); 0; 2.90366268157959; 12; 11
9; 0; minimax; (5,6) -> (3, 4); 1; 0.37665534019470215; 12; 11
9; 1; mcts; (1,2) -> (2, 1); 0; 3.2095890045166016; 12; 10
10; 0; minimax; (4,7) -> (2, 5); 1; 0.8970382213592529; 12; 10
10; 1; mcts; (1,4) -> (2, 3); 0; 3.7790744304656982; 12; 9
11; 0; minimax; (6,7) -> (5, 6); 0; 0.46169471740722656; 12; 9
11; 1; mcts; (0,3) -> (1, 2); 0; 2.7397758960723877; 12; 9
12; 0; minimax; (6,3) -> (5, 2); 0; 0.2790508270263672; 12; 9
12; 1; mcts; (3,2) -> (4, 1); 0; 2.538482189178467; 12; 9
13; 0; minimax; (7,2) -> (6, 3); 0; 0.34927868843078613; 12; 9
13; 1; mcts; (2,3) -> (6, 7); 2; 2.5265097618103027; 12; 9
14; 0; minimax; (5,0) -> (3, 2); 1; 0.182114839553833; 10; 9
14; 1; mcts; (1,6) -> (3, 4); 1; 2.4282612800598145; 10; 8
15; 0; minimax; (4,3) -> (2, 5); 1; 0.19095516204833984; 9; 8
15; 1; mcts; (0,7) -> (1, 6); 0; 2.346958875656128; 9; 7
16; 0; minimax; (2,5) -> (0, 7); 1; 0.3855717182159424; 9; 7
16; 1; mcts; (6,7) -> (7, 6); 0; 2.0973868370056152; 9; 6
17; 0; minimax; (6,5) -> (5, 6); 0; 0.3033721446990967; 9; 6
17; 1; mcts; (2,1) -> (6, 5); 2; 2.1795947551727295; 9; 6
18; 0; minimax; (6,3) -> (5, 4); 0; 0.28161001205444336; 7; 6
18; 1; mcts; (1,2) -> (2, 3); 0; 2.157050371170044; 7; 6
19; 0; minimax; (5,6) -> (4, 5); 0; 0.349193811416626; 7; 6
19; 1; mcts; (2,7) -> (3, 6); 0; 2.931103467941284; 7; 6
20; 0; minimax; (4,5) -> (2, 7); 1; 0.38075685501098633; 7; 6
20; 1; mcts; (2,3) -> (3, 4); 0; 2.6937944889068604; 7; 5
21; 0; minimax; (6,1) -> (5, 0); 0; 0.26238489151000977; 7; 5
21; 1; mcts; (1,0) -> (2, 1); 0; 2.8736445903778076; 7; 5
22; 0; minimax; (5,4) -> (4, 5); 0; 0.3057217597961426; 7; 5
22; 1; mcts; (0,1) -> (1, 0); 0; 2.580732822418213; 7; 5
23; 0; minimax; (4,5) -> (2, 3); 1; 0.38610219955444336; 7; 5
23; 1; mcts; (2,1) -> (3, 2); 0; 1.97871732711792; 7; 4
24; 0; minimax; (7,0) -> (6, 1); 0; 0.2481529712677002; 7; 4
24; 1; mcts; (6,5) -> (7, 4); 0; 1.757451057434082; 7; 4
25; 0; minimax; (5,2) -> (4, 3); 0; 0.17834734916687012; 7; 4
25; 1; mcts; (3,2) -> (5, 4); 1; 2.111894369125366; 7; 4
26; 0; minimax; (6,1) -> (5, 2); 0; 0.1266026496887207; 6; 4
26; 1; mcts; (5,4) -> (6, 3); 0; 1.713437557220459; 6; 4
27; 0; minimax; (5,2) -> (4, 3); 0; 0.1521468162536621; 6; 4
27; 1; mcts; (6,3) -> (7, 2); 0; 1.7705166339874268; 6; 4
28; 0; minimax; (5,0) -> (4, 1); 0; 0.1592390537261963; 6; 4
