Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,1) -> (3, 2); 0; 5.804049968719482; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.29300928115844727; 12; 12
2; 1; mcts; (2,7) -> (3, 6); 0; 6.531649827957153; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.5046589374542236; 12; 12
3; 1; mcts; (1,2) -> (2, 1); 0; 7.205068111419678; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.30783629417419434; 12; 12
4; 1; mcts; (0,3) -> (1, 2); 0; 6.550061464309692; 12; 12
5; 0; minimax; (5,6) -> (4, 5); 0; 0.22353219985961914; 12; 12
