Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,3) -> (3, 4); 0; 4.447439193725586; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.31136417388916016; 12; 12
2; 1; mcts; (3,4) -> (4, 3); 0; 5.0950376987457275; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.5024042129516602; 12; 12
3; 1; mcts; (2,5) -> (3, 6); 0; 5.566653490066528; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.5668168067932129; 12; 12
4; 1; mcts; (1,4) -> (2, 3); 0; 5.700146913528442; 12; 12
5; 0; minimax; (5,6) -> (4, 5); 0; 0.4654359817504883; 12; 12
5; 1; mcts; (2,3) -> (3, 2); 0; 7.265228509902954; 12; 12
6; 0; minimax; (6,7) -> (5, 6); 0; 0.4945385456085205; 12; 12
6; 1; mcts; (1,6) -> (2, 5); 0; 4.977822780609131; 12; 12
7; 0; minimax; (5,2) -> (1, 6); 2; 0.24059033393859863; 12; 12
7; 1; mcts; (1,2) -> (2, 3); 0; 4.936883211135864; 12; 10
8; 0; minimax; (4,7) -> (2, 5); 1; 0.3377265930175781; 12; 10
8; 1; mcts; (3,2) -> (4, 1); 0; 5.841728210449219; 12; 9
9; 0; minimax; (6,3) -> (5, 2); 0; 0.6355609893798828; 12; 9
9; 1; mcts; (0,3) -> (1, 4); 0; 4.213473320007324; 12; 9
10; 0; minimax; (7,4) -> (6, 3); 0; 0.7579169273376465; 12; 9
10; 1; mcts; (2,3) -> (3, 2); 0; 3.700000286102295; 12; 9
11; 0; minimax; (5,6) -> (4, 7); 0; 0.37688612937927246; 12; 9
11; 1; mcts; (1,4) -> (2, 3); 0; 4.0165019035339355; 12; 9
12; 0; minimax; (5,4) -> (4, 3); 0; 0.671473503112793; 12; 9
12; 1; mcts; (3,2) -> (5, 4); 1; 4.789678335189819; 12; 9
13; 0; minimax; (6,5) -> (4, 3); 1; 0.5814657211303711; 11; 9
13; 1; mcts; (2,1) -> (3, 2); 0; 3.9165170192718506; 11; 8
14; 0; minimax; (4,3) -> (2, 1); 1; 0.2783377170562744; 11; 8
14; 1; mcts; (2,7) -> (3, 6); 0; 3.2697553634643555; 11; 7
15; 0; minimax; (5,0) -> (1, 4); 2; 0.352719783782959; 11; 7
15; 1; mcts; (3,6) -> (5, 4); 1; 2.84207820892334; 11; 5
16; 0; minimax; (6,3) -> (4, 5); 1; 0.2549269199371338; 10; 5
16; 1; mcts; (0,5) -> (2, 7); 1; 2.914156913757324; 10; 4
17; 0; minimax; (2,5) -> (1, 6); 0; 0.5551979541778564; 9; 4
17; 1; mcts; (1,0) -> (3, 2); 1; 2.6863491535186768; 9; 4
18; 0; minimax; (5,2) -> (4, 3); 0; 0.35149455070495605; 8; 4
18; 1; mcts; (0,1) -> (1, 2); 0; 2.8237497806549072; 8; 4
19; 0; minimax; (4,3) -> (2, 1); 1; 0.427548885345459; 8; 4
19; 1; mcts; (2,7) -> (3, 6); 0; 2.3423919677734375; 8; 3
20; 0; minimax; (4,7) -> (2, 5); 1; 0.4235711097717285; 8; 3
20; 1; mcts; (1,2) -> (3, 0); 1; 1.9376282691955566; 8; 2
21; 0; minimax; (7,2) -> (6, 3); 0; 0.1816086769104004; 7; 2
21; 1; mcts; (3,0) -> (4, 1); 0; 1.8869991302490234; 7; 2
22; 0; minimax; (6,3) -> (5, 2); 0; 0.19295072555541992; 7; 2
22; 1; mcts; (4,1) -> (6, 3); 1; 1.8525681495666504; 7; 2
23; 0; minimax; (6,1) -> (5, 2); 0; 0.09406232833862305; 6; 2
23; 1; mcts; (6,3) -> (7, 2); 0; 2.005417823791504; 6; 2
24; 0; minimax; (7,0) -> (6, 1); 0; 0.1328880786895752; 6; 2
24; 1; mcts; (7,2) -> (5, 0); 1; 1.940403699874878; 6; 2
25; 0; minimax; (5,2) -> (4, 3); 0; 0.08032727241516113; 5; 2
25; 1; mcts; (5,0) -> (6, 1); 0; 1.846526861190796; 5; 2
26; 0; minimax; (4,5) -> (3, 6); 0; 0.07534646987915039; 5; 2
26; 1; mcts; (6,1) -> (7, 2); 0; 1.7931888103485107; 5; 2
27; 0; minimax; (4,3) -> (3, 4); 0; 0.053922176361083984; 5; 2
27; 1; mcts; (7,2) -> (6, 1); 0; 1.835780143737793; 5; 2
28; 0; minimax; (3,6) -> (2, 7); 0; 0.03645753860473633; 5; 2
28; 1; mcts; (6,1) -> (5, 2); 0; 1.8336567878723145; 5; 2
29; 0; minimax; (3,4) -> (2, 3); 0; 0.024070262908935547; 5; 2
29; 1; mcts; (5,2) -> (4, 1); 0; 1.8311362266540527; 5; 2
30; 0; minimax; (2,3) -> (1, 2); 0; 0.02587580680847168; 5; 2
30; 1; mcts; (4,1) -> (5, 0); 0; 1.722933053970337; 5; 2
31; 0; minimax; (1,6) -> (0, 5); 0; 0.03233838081359863; 5; 2
31; 1; mcts; (5,0) -> (4, 1); 0; 1.8189239501953125; 5; 2
32; 0; minimax; (2,7) -> (1, 6); 0; 0.03504824638366699; 5; 2
32; 1; mcts; (4,1) -> (5, 0); 0; 1.7768852710723877; 5; 2
33; 0; minimax; (1,4) -> (0, 3); 0; 0.010765552520751953; 5; 2
33; 1; mcts; (5,0) -> (6, 1); 0; 1.789886236190796; 5; 2
34; 0; minimax; (1,2) -> (0, 1); 0; 0.020412206649780273; 5; 2
34; 1; mcts; (6,1) -> (7, 0); 0; 1.7364473342895508; 5; 2
35; 0; minimax; (2,5) -> (1, 4); 0; 0.0535736083984375; 5; 2
35; 1; mcts; (7,0) -> (6, 1); 0; 1.7785062789916992; 5; 2
36; 0; minimax; (0,3) -> (1, 2); 0; 0.016849279403686523; 5; 2
36; 1; mcts; (6,1) -> (5, 0); 0; 1.9271478652954102; 5; 2
37; 0; minimax; (1,4) -> (0, 3); 0; 0.059975624084472656; 5; 2
37; 1; mcts; (5,0) -> (6, 1); 0; 2.5962443351745605; 5; 2
38; 0; minimax; (1,2) -> (2, 3); 0; 0.0887758731842041; 5; 2
38; 1; mcts; (0,7) -> (2, 5); 1; 2.235146999359131; 5; 2
39; 0; minimax; (2,3) -> (3, 4); 0; 0.22359514236450195; 4; 2
39; 1; mcts; (6,1) -> (7, 0); 0; 2.4112308025360107; 4; 2
40; 0; minimax; (3,4) -> (1, 6); 1; 0.2558727264404297; 4; 2
40; 1; mcts; (7,0) -> (6, 1); 0; 2.498473644256592; 4; 1
41; 0; minimax; (1,6) -> (0, 7); 0; 0.1322174072265625; 4; 1
41; 1; mcts; (6,1) -> (7, 0); 0; 1.9438912868499756; 4; 1
42; 0; minimax; (0,7) -> (1, 6); 0; 0.08973813056945801; 4; 1
42; 1; mcts; (7,0) -> (6, 1); 0; 1.691094160079956; 4; 1
43; 0; minimax; (1,6) -> (0, 7); 0; 0.1201021671295166; 4; 1
43; 1; mcts; (6,1) -> (5, 2); 0; 1.605696439743042; 4; 1
44; 0; minimax; (0,7) -> (1, 6); 0; 0.08504581451416016; 4; 1
44; 1; mcts; (5,2) -> (6, 1); 0; 1.7484471797943115; 4; 1
45; 0; minimax; (1,6) -> (0, 7); 0; 0.12549877166748047; 4; 1
45; 1; mcts; (6,1) -> (5, 2); 0; 1.6327433586120605; 4; 1
46; 0; minimax; (0,7) -> (1, 6); 0; 0.08624005317687988; 4; 1
46; 1; mcts; (5,2) -> (6, 3); 0; 1.7393717765808105; 4; 1
47; 0; minimax; (1,6) -> (0, 7); 0; 0.12697362899780273; 4; 1
47; 1; mcts; (6,3) -> (7, 4); 0; 1.7485926151275635; 4; 1
48; 0; minimax; (0,7) -> (1, 6); 0; 0.0993506908416748; 4; 1
48; 1; mcts; (7,4) -> (6, 3); 0; 2.1762781143188477; 4; 1
49; 0; minimax; (1,6) -> (0, 7); 0; 0.12995433807373047; 4; 1
49; 1; mcts; (6,3) -> (5, 4); 0; 1.9022033214569092; 4; 1
50; 0; minimax; (0,7) -> (1, 6); 0; 0.10815811157226562; 4; 1
Winner : Red
