Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,7) -> (3, 6); 0; 13.595877647399902; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.5311779975891113; 12; 12
2; 1; mcts; (2,3) -> (3, 4); 0; 10.899637460708618; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.30936312675476074; 12; 12
3; 1; mcts; (1,2) -> (2, 3); 0; 10.366755723953247; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.2825617790222168; 12; 12
4; 1; mcts; (3,4) -> (4, 5); 0; 13.815146923065186; 12; 12
5; 0; minimax; (5,6) -> (1, 2); 2; 0.26104307174682617; 12; 12
5; 1; mcts; (2,1) -> (3, 2); 0; 11.871663093566895; 12; 10
6; 0; minimax; (6,7) -> (5, 6); 0; 0.3892817497253418; 12; 10
6; 1; mcts; (1,6) -> (2, 7); 0; 10.674519062042236; 12; 10
7; 0; minimax; (5,6) -> (4, 5); 0; 0.25053834915161133; 12; 10
7; 1; mcts; (0,1) -> (2, 3); 1; 12.0891273021698; 12; 10
8; 0; minimax; (4,5) -> (3, 4); 0; 0.19226455688476562; 11; 10
8; 1; mcts; (1,0) -> (2, 1); 0; 10.446576595306396; 11; 10
9; 0; minimax; (6,5) -> (5, 6); 0; 0.663865327835083; 11; 10
9; 1; mcts; (3,2) -> (4, 3); 0; 12.09065294265747; 11; 10
10; 0; minimax; (5,4) -> (1, 0); 2; 0.576575517654419; 11; 10
10; 1; mcts; (2,3) -> (6, 7); 2; 10.139101266860962; 11; 8
11; 0; minimax; (5,2) -> (4, 3); 0; 0.21369671821594238; 9; 8
11; 1; mcts; (2,5) -> (3, 4); 0; 9.554965257644653; 9; 8
12; 0; minimax; (4,7) -> (2, 5); 1; 0.5315849781036377; 9; 8
12; 1; mcts; (2,7) -> (3, 6); 0; 9.959685564041138; 9; 7
13; 0; minimax; (2,5) -> (1, 6); 0; 0.3438122272491455; 9; 7
13; 1; mcts; (1,4) -> (2, 3); 0; 8.480533123016357; 9; 7
14; 0; minimax; (7,4) -> (6, 5); 0; 0.3027458190917969; 9; 7
14; 1; mcts; (3,6) -> (4, 5); 0; 8.361835479736328; 9; 7
15; 0; minimax; (6,5) -> (5, 6); 0; 0.4073822498321533; 9; 7
15; 1; mcts; (2,3) -> (3, 2); 0; 10.46624493598938; 9; 7
16; 0; minimax; (4,3) -> (2, 5); 1; 0.2528085708618164; 9; 7
16; 1; mcts; (0,5) -> (1, 4); 0; 12.936748027801514; 9; 6
17; 0; minimax; (5,6) -> (3, 4); 1; 0.43654537200927734; 9; 6
17; 1; mcts; (1,4) -> (3, 6); 1; 11.583593845367432; 9; 5
18; 0; minimax; (5,0) -> (4, 1); 0; 0.5044548511505127; 8; 5
18; 1; mcts; (6,7) -> (7, 6); 0; 11.073013544082642; 8; 5
19; 0; minimax; (4,1) -> (2, 3); 1; 0.46657466888427734; 8; 5
19; 1; mcts; (3,6) -> (4, 7); 0; 7.61159348487854; 8; 4
20; 0; minimax; (6,3) -> (5, 4); 0; 0.3377072811126709; 8; 4
20; 1; mcts; (0,3) -> (1, 2); 0; 7.769150257110596; 8; 4
21; 0; minimax; (7,2) -> (6, 3); 0; 0.47600650787353516; 8; 4
21; 1; mcts; (0,7) -> (2, 5); 1; 9.418306827545166; 8; 4
22; 0; minimax; (3,4) -> (1, 6); 1; 0.39342689514160156; 7; 4
22; 1; mcts; (1,2) -> (3, 4); 1; 8.514315843582153; 7; 3
23; 0; minimax; (5,4) -> (4, 5); 0; 0.19739484786987305; 6; 3
23; 1; mcts; (3,4) -> (5, 6); 1; 6.9633097648620605; 6; 3
24; 0; minimax; (6,3) -> (5, 4); 0; 0.14188432693481445; 5; 3
24; 1; mcts; (5,6) -> (6, 5); 0; 6.010381698608398; 5; 3
25; 0; minimax; (6,1) -> (5, 2); 0; 0.13947844505310059; 5; 3
25; 1; mcts; (4,7) -> (5, 6); 0; 6.671146869659424; 5; 3
26; 0; minimax; (7,0) -> (6, 1); 0; 0.20048999786376953; 5; 3
26; 1; mcts; (7,6) -> (6, 7); 0; 6.6296303272247314; 5; 3
27; 0; minimax; (6,1) -> (5, 0); 0; 0.3420908451080322; 5; 3
27; 1; mcts; (6,5) -> (7, 6); 0; 9.413449048995972; 5; 3
28; 0; minimax; (5,4) -> (4, 5); 0; 0.22732043266296387; 5; 3
28; 1; mcts; (5,6) -> (6, 5); 0; 10.953497886657715; 5; 3
29; 0; minimax; (5,2) -> (4, 3); 0; 0.23895502090454102; 5; 3
29; 1; mcts; (6,5) -> (7, 4); 0; 8.157500982284546; 5; 3
30; 0; minimax; (5,0) -> (4, 1); 0; 0.23006534576416016; 5; 3
30; 1; mcts; (7,4) -> (6, 3); 0; 8.913527011871338; 5; 3
31; 0; minimax; (4,5) -> (3, 6); 0; 0.2986624240875244; 5; 3
31; 1; mcts; (6,3) -> (5, 2); 0; 11.38541293144226; 5; 3
32; 0; minimax; (4,3) -> (3, 4); 0; 0.27823448181152344; 5; 3
32; 1; mcts; (5,2) -> (6, 1); 0; 10.184254884719849; 5; 3
33; 0; minimax; (4,1) -> (3, 2); 0; 0.3069741725921631; 5; 3
33; 1; mcts; (6,1) -> (7, 2); 0; 9.106581926345825; 5; 3
34; 0; minimax; (3,6) -> (2, 7); 0; 0.23335003852844238; 5; 3
34; 1; mcts; (7,2) -> (6, 1); 0; 9.223119497299194; 5; 3
35; 0; minimax; (3,4) -> (2, 5); 0; 0.24627256393432617; 5; 3
35; 1; mcts; (6,1) -> (5, 0); 0; 11.967923879623413; 5; 3
36; 0; minimax; (3,2) -> (2, 3); 0; 0.2066645622253418; 5; 3
36; 1; mcts; (7,6) -> (6, 5); 0; 11.43405032157898; 5; 3
37; 0; minimax; (2,5) -> (1, 4); 0; 0.14769434928894043; 5; 3
37; 1; mcts; (5,0) -> (4, 1); 0; 9.602597713470459; 5; 3
38; 0; minimax; (1,6) -> (0, 7); 0; 0.10173749923706055; 5; 3
38; 1; mcts; (6,5) -> (7, 6); 0; 10.686203241348267; 5; 3
39; 0; minimax; (2,7) -> (1, 6); 0; 0.13903355598449707; 5; 3
39; 1; mcts; (4,1) -> (5, 0); 0; 7.075480699539185; 5; 3
40; 0; minimax; (1,6) -> (0, 5); 0; 0.05890178680419922; 5; 3
40; 1; mcts; (5,0) -> (4, 1); 0; 7.5111000537872314; 5; 3
41; 0; minimax; (2,3) -> (1, 2); 0; 0.1071631908416748; 5; 3
41; 1; mcts; (6,7) -> (5, 6); 0; 10.006694793701172; 5; 3
42; 0; minimax; (1,4) -> (0, 3); 0; 0.1189732551574707; 5; 3
42; 1; mcts; (5,6) -> (4, 7); 0; 9.718271732330322; 5; 3
43; 0; minimax; (1,2) -> (0, 1); 0; 0.1547694206237793; 5; 3
43; 1; mcts; (7,6) -> (6, 7); 0; 8.027332067489624; 5; 3
44; 0; minimax; (0,7) -> (1, 6); 0; 0.11315321922302246; 5; 3
44; 1; mcts; (4,1) -> (3, 0); 0; 8.190924882888794; 5; 3
