Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,5) -> (3, 4); 0; 5.1605846881866455; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.3658163547515869; 12; 12
2; 1; mcts; (2,1) -> (3, 2); 0; 6.678340911865234; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.5180826187133789; 12; 12
3; 1; mcts; (3,2) -> (4, 1); 0; 6.650521278381348; 12; 12
4; 0; minimax; (5,4) -> (4, 3); 0; 0.566349983215332; 12; 12
4; 1; mcts; (1,0) -> (2, 1); 0; 6.472426891326904; 12; 12
5; 0; minimax; (7,6) -> (6, 7); 0; 0.6312057971954346; 12; 12
5; 1; mcts; (2,3) -> (3, 2); 0; 5.714713096618652; 12; 12
6; 0; minimax; (6,5) -> (5, 4); 0; 0.2520751953125; 12; 12
6; 1; mcts; (1,6) -> (2, 5); 0; 6.197955131530762; 12; 12
7; 0; minimax; (5,6) -> (4, 5); 0; 0.1841411590576172; 12; 12
7; 1; mcts; (2,1) -> (3, 0); 0; 6.539518117904663; 12; 12
8; 0; minimax; (4,5) -> (2, 3); 1; 0.1579430103302002; 12; 12
8; 1; mcts; (2,5) -> (3, 6); 0; 4.585248708724976; 12; 11
9; 0; minimax; (4,7) -> (2, 5); 1; 0.20054078102111816; 12; 11
9; 1; mcts; (0,5) -> (1, 6); 0; 4.263800859451294; 12; 10
10; 0; minimax; (4,3) -> (2, 1); 1; 0.18963909149169922; 12; 10
10; 1; mcts; (1,4) -> (3, 6); 1; 4.282074689865112; 12; 9
11; 0; minimax; (5,0) -> (3, 2); 1; 0.3263227939605713; 11; 9
11; 1; mcts; (0,3) -> (1, 4); 0; 4.287005186080933; 11; 8
12; 0; minimax; (7,4) -> (6, 5); 0; 0.6061689853668213; 11; 8
12; 1; mcts; (1,2) -> (3, 4); 1; 4.291716814041138; 11; 8
13; 0; minimax; (5,4) -> (4, 5); 0; 0.5573549270629883; 10; 8
13; 1; mcts; (3,4) -> (5, 6); 1; 4.351154088973999; 10; 8
14; 0; minimax; (6,5) -> (2, 5); 2; 0.5756912231445312; 9; 8
14; 1; mcts; (1,6) -> (3, 4); 1; 3.5475406646728516; 9; 6
15; 0; minimax; (5,2) -> (4, 3); 0; 0.26572537422180176; 8; 6
15; 1; mcts; (3,4) -> (5, 2); 1; 3.6904003620147705; 8; 6
16; 0; minimax; (6,3) -> (4, 1); 1; 0.22027111053466797; 7; 6
16; 1; mcts; (0,1) -> (1, 2); 0; 3.148481845855713; 7; 5
17; 0; minimax; (3,2) -> (2, 3); 0; 0.1669623851776123; 7; 5
17; 1; mcts; (1,2) -> (3, 4); 1; 3.1271772384643555; 7; 5
18; 0; minimax; (2,1) -> (1, 2); 0; 0.13802528381347656; 6; 5
18; 1; mcts; (3,0) -> (5, 2); 1; 3.0748629570007324; 6; 5
19; 0; minimax; (6,1) -> (2, 5); 2; 0.13190746307373047; 5; 5
19; 1; mcts; (1,4) -> (2, 3); 0; 2.4543752670288086; 5; 3
