Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,5) -> (3, 4); 0; 6.2973551750183105; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.3180053234100342; 12; 12
2; 1; mcts; (3,4) -> (4, 3); 0; 5.7075042724609375; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.3906245231628418; 12; 12
3; 1; mcts; (1,6) -> (2, 5); 0; 5.224957227706909; 12; 12
4; 0; minimax; (7,6) -> (6, 7); 0; 0.4564483165740967; 12; 12
4; 1; mcts; (2,5) -> (3, 4); 0; 6.199591398239136; 12; 12
5; 0; minimax; (5,4) -> (3, 2); 1; 0.28313422203063965; 12; 12
5; 1; mcts; (2,1) -> (4, 3); 1; 8.214935302734375; 12; 11
6; 0; minimax; (6,5) -> (5, 4); 0; 0.2795889377593994; 11; 11
6; 1; mcts; (1,2) -> (2, 1); 0; 6.681308746337891; 11; 11
7; 0; minimax; (5,4) -> (3, 2); 1; 0.31050777435302734; 11; 11
7; 1; mcts; (1,4) -> (2, 5); 0; 6.959490060806274; 11; 10
8; 0; minimax; (5,6) -> (4, 5); 0; 0.46570611000061035; 11; 10
8; 1; mcts; (0,7) -> (1, 6); 0; 7.755646705627441; 11; 10
9; 0; minimax; (7,4) -> (6, 5); 0; 0.669196605682373; 11; 10
9; 1; mcts; (2,5) -> (3, 6); 0; 7.616695165634155; 11; 10
10; 0; minimax; (4,7) -> (2, 5); 1; 0.4625537395477295; 11; 10
10; 1; mcts; (0,3) -> (1, 2); 0; 7.067324638366699; 11; 9
11; 0; minimax; (3,2) -> (1, 4); 1; 1.14674711227417; 11; 9
11; 1; mcts; (3,4) -> (5, 6); 1; 6.869333267211914; 11; 8
12; 0; minimax; (6,7) -> (4, 5); 1; 0.5359859466552734; 10; 8
12; 1; mcts; (0,5) -> (2, 3); 1; 6.550958633422852; 10; 7
13; 0; minimax; (2,5) -> (0, 7); 1; 0.5486495494842529; 9; 7
13; 1; mcts; (2,1) -> (3, 2); 0; 5.281862258911133; 9; 6
14; 0; minimax; (5,2) -> (4, 3); 0; 0.4105112552642822; 9; 6
14; 1; mcts; (2,3) -> (3, 4); 0; 4.77925443649292; 9; 6
15; 0; minimax; (4,5) -> (2, 3); 1; 0.6586170196533203; 9; 6
15; 1; mcts; (3,2) -> (7, 6); 2; 6.20915961265564; 9; 5
16; 0; minimax; (2,3) -> (1, 4); 0; 0.16669607162475586; 7; 5
16; 1; mcts; (7,6) -> (6, 7); 0; 5.794189214706421; 7; 5
17; 0; minimax; (6,3) -> (5, 4); 0; 0.28948545455932617; 7; 5
17; 1; mcts; (1,2) -> (2, 3); 0; 5.571578741073608; 7; 5
18; 0; minimax; (1,4) -> (0, 5); 0; 0.4226198196411133; 7; 5
18; 1; mcts; (2,7) -> (3, 6); 0; 4.657405138015747; 7; 5
19; 0; minimax; (7,2) -> (6, 3); 0; 0.2576632499694824; 7; 5
19; 1; mcts; (0,1) -> (1, 2); 0; 4.9753594398498535; 7; 5
20; 0; minimax; (0,5) -> (1, 4); 0; 0.3070204257965088; 7; 5
20; 1; mcts; (6,7) -> (5, 6); 0; 7.777225017547607; 7; 5
21; 0; minimax; (1,4) -> (2, 5); 0; 0.7182469367980957; 7; 5
21; 1; mcts; (1,2) -> (2, 1); 0; 7.122338056564331; 7; 5
22; 0; minimax; (6,3) -> (5, 2); 0; 0.9390218257904053; 7; 5
22; 1; mcts; (2,3) -> (3, 4); 0; 7.1268439292907715; 7; 5
23; 0; minimax; (5,4) -> (4, 5); 0; 0.7490079402923584; 7; 5
23; 1; mcts; (3,4) -> (4, 3); 0; 5.16033935546875; 7; 5
24; 0; minimax; (5,2) -> (3, 4); 1; 0.3366055488586426; 7; 5
24; 1; mcts; (5,6) -> (4, 7); 0; 3.462951421737671; 7; 4
25; 0; minimax; (4,5) -> (2, 7); 1; 0.1845555305480957; 7; 4
