Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,5) -> (3, 6); 0; 4.303015947341919; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.2743394374847412; 12; 12
2; 1; mcts; (2,1) -> (3, 2); 0; 3.4906187057495117; 12; 12
3; 0; minimax; (5,4) -> (4, 3); 0; 0.3491690158843994; 12; 12
3; 1; mcts; (2,3) -> (3, 4); 0; 4.622136116027832; 12; 12
4; 0; minimax; (6,7) -> (5, 6); 0; 0.7373740673065186; 12; 12
4; 1; mcts; (1,4) -> (2, 3); 0; 5.507843494415283; 12; 12
5; 0; minimax; (7,6) -> (6, 7); 0; 0.5197196006774902; 12; 12
5; 1; mcts; (3,2) -> (7, 6); 2; 3.737518548965454; 12; 12
6; 0; minimax; (7,4) -> (6, 5); 0; 0.29131340980529785; 10; 12
6; 1; mcts; (3,6) -> (4, 5); 0; 3.6300103664398193; 10; 12
7; 0; minimax; (5,2) -> (4, 3); 0; 0.1901090145111084; 10; 12
7; 1; mcts; (2,7) -> (3, 6); 0; 3.352083444595337; 10; 12
8; 0; minimax; (6,5) -> (5, 4); 0; 0.2977569103240967; 10; 12
8; 1; mcts; (3,4) -> (5, 2); 1; 3.2260422706604004; 10; 12
9; 0; minimax; (6,3) -> (4, 1); 1; 0.19165468215942383; 9; 12
9; 1; mcts; (1,2) -> (2, 1); 0; 4.149303436279297; 9; 11
10; 0; minimax; (7,2) -> (6, 3); 0; 0.41377902030944824; 9; 11
10; 1; mcts; (2,1) -> (3, 0); 0; 3.4584243297576904; 9; 11
11; 0; minimax; (6,3) -> (5, 2); 0; 0.27303051948547363; 9; 11
11; 1; mcts; (1,0) -> (2, 1); 0; 3.7762112617492676; 9; 11
12; 0; minimax; (5,6) -> (1, 2); 2; 0.21835112571716309; 9; 11
12; 1; mcts; (7,6) -> (6, 5); 0; 2.994492292404175; 9; 9
13; 0; minimax; (4,7) -> (2, 5); 1; 0.131422758102417; 9; 9
13; 1; mcts; (0,1) -> (2, 3); 1; 2.757412910461426; 9; 8
14; 0; minimax; (4,1) -> (3, 2); 0; 0.1465601921081543; 8; 8
14; 1; mcts; (6,5) -> (5, 6); 0; 2.8120245933532715; 8; 8
15; 0; minimax; (6,7) -> (4, 5); 1; 0.20737528800964355; 8; 8
15; 1; mcts; (0,5) -> (1, 4); 0; 2.6861302852630615; 8; 7
16; 0; minimax; (4,5) -> (3, 4); 0; 0.16997432708740234; 8; 7
16; 1; mcts; (1,6) -> (2, 7); 0; 3.046248197555542; 8; 7
17; 0; minimax; (3,4) -> (1, 2); 1; 0.26433706283569336; 8; 7
17; 1; mcts; (1,4) -> (2, 3); 0; 4.519557476043701; 8; 6
