Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,3) -> (3, 2); 0; 2.554253339767456; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.33539271354675293; 12; 12
2; 1; mcts; (2,5) -> (3, 4); 0; 3.7825117111206055; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.6400637626647949; 12; 12
3; 1; mcts; (2,7) -> (3, 6); 0; 3.5765175819396973; 12; 12
4; 0; minimax; (5,6) -> (4, 5); 0; 0.49900269508361816; 12; 12
4; 1; mcts; (3,4) -> (4, 3); 0; 2.9660701751708984; 12; 12
5; 0; minimax; (7,6) -> (6, 7); 0; 0.47766757011413574; 12; 12
5; 1; mcts; (1,6) -> (2, 5); 0; 3.486985206604004; 12; 12
6; 0; minimax; (6,7) -> (5, 6); 0; 0.37142491340637207; 12; 12
6; 1; mcts; (3,2) -> (4, 1); 0; 2.8919568061828613; 12; 12
7; 0; minimax; (5,2) -> (1, 6); 2; 0.43878769874572754; 12; 12
7; 1; mcts; (2,1) -> (3, 2); 0; 3.9446544647216797; 12; 10
8; 0; minimax; (6,3) -> (5, 2); 0; 0.41817593574523926; 12; 10
8; 1; mcts; (3,2) -> (4, 3); 0; 2.9847609996795654; 12; 10
9; 0; minimax; (5,4) -> (3, 2); 1; 0.5043554306030273; 12; 10
9; 1; mcts; (1,2) -> (2, 3); 0; 2.646991729736328; 12; 9
10; 0; minimax; (7,4) -> (6, 3); 0; 0.5206646919250488; 12; 9
10; 1; mcts; (1,0) -> (2, 1); 0; 2.6982529163360596; 12; 9
11; 0; minimax; (6,5) -> (5, 4); 0; 0.46384143829345703; 12; 9
11; 1; mcts; (0,7) -> (2, 5); 1; 2.784533739089966; 12; 9
12; 0; minimax; (5,4) -> (4, 3); 0; 0.26301026344299316; 11; 9
12; 1; mcts; (2,1) -> (3, 0); 0; 3.6317193508148193; 11; 9
13; 0; minimax; (4,5) -> (2, 7); 1; 0.28947877883911133; 11; 9
13; 1; mcts; (0,5) -> (1, 6); 0; 3.1134743690490723; 11; 8
14; 0; minimax; (4,3) -> (3, 4); 0; 0.19507718086242676; 11; 8
14; 1; mcts; (0,3) -> (1, 2); 0; 2.1350317001342773; 11; 8
15; 0; minimax; (3,2) -> (2, 1); 0; 0.23980188369750977; 11; 8
15; 1; mcts; (2,3) -> (6, 7); 2; 2.155653715133667; 11; 8
16; 0; minimax; (5,0) -> (3, 2); 1; 0.2215900421142578; 9; 8
16; 1; mcts; (2,5) -> (3, 6); 0; 2.1219418048858643; 9; 7
17; 0; minimax; (4,7) -> (2, 5); 1; 0.47890734672546387; 9; 7
17; 1; mcts; (0,1) -> (1, 0); 0; 1.9733078479766846; 9; 6
18; 0; minimax; (2,7) -> (0, 5); 1; 0.3763613700866699; 9; 6
18; 1; mcts; (1,4) -> (3, 6); 1; 1.7471215724945068; 9; 5
19; 0; minimax; (2,1) -> (0, 3); 1; 0.2927255630493164; 8; 5
19; 1; mcts; (3,6) -> (4, 7); 0; 1.6758313179016113; 8; 4
20; 0; minimax; (6,3) -> (5, 4); 0; 0.5308094024658203; 8; 4
20; 1; mcts; (1,0) -> (2, 1); 0; 2.383915662765503; 8; 4
21; 0; minimax; (7,2) -> (6, 3); 0; 0.7193341255187988; 8; 4
21; 1; mcts; (6,7) -> (7, 6); 0; 1.596911907196045; 8; 4
22; 0; minimax; (6,1) -> (5, 0); 0; 0.6973793506622314; 8; 4
22; 1; mcts; (7,6) -> (6, 5); 0; 2.059471607208252; 8; 4
23; 0; minimax; (7,0) -> (6, 1); 0; 0.999046802520752; 8; 4
23; 1; mcts; (6,5) -> (7, 6); 0; 1.9169197082519531; 8; 4
24; 0; minimax; (5,4) -> (4, 5); 0; 0.5536997318267822; 8; 4
24; 1; mcts; (3,0) -> (4, 1); 0; 1.6597115993499756; 8; 4
25; 0; minimax; (6,3) -> (5, 4); 0; 0.6931676864624023; 8; 4
25; 1; mcts; (4,7) -> (5, 6); 0; 1.5710601806640625; 8; 4
26; 0; minimax; (5,4) -> (4, 3); 0; 0.6455013751983643; 8; 4
26; 1; mcts; (2,1) -> (3, 0); 0; 1.518214464187622; 8; 4
27; 0; minimax; (4,5) -> (3, 6); 0; 0.3353092670440674; 8; 4
27; 1; mcts; (7,6) -> (6, 5); 0; 1.8306999206542969; 8; 4
28; 0; minimax; (4,3) -> (3, 4); 0; 0.4459660053253174; 8; 4
28; 1; mcts; (4,1) -> (6, 3); 1; 2.563873529434204; 8; 4
29; 0; minimax; (6,1) -> (5, 2); 0; 0.9312448501586914; 7; 4
29; 1; mcts; (5,6) -> (6, 7); 0; 2.5612685680389404; 7; 4
30; 0; minimax; (5,2) -> (4, 3); 0; 0.6658134460449219; 7; 4
30; 1; mcts; (6,5) -> (5, 6); 0; 1.5539424419403076; 7; 4
31; 0; minimax; (5,0) -> (4, 1); 0; 0.49491310119628906; 7; 4
