Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,5) -> (3, 6); 0; 2.445911169052124; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.460054874420166; 12; 12
2; 1; mcts; (1,6) -> (2, 5); 0; 3.8046653270721436; 12; 12
3; 0; minimax; (5,4) -> (4, 5); 0; 0.2778289318084717; 12; 12
3; 1; mcts; (2,3) -> (3, 2); 0; 2.3750717639923096; 12; 12
4; 0; minimax; (4,5) -> (3, 4); 0; 0.3968372344970703; 12; 12
4; 1; mcts; (3,2) -> (4, 1); 0; 2.6000256538391113; 12; 12
5; 0; minimax; (5,2) -> (3, 0); 1; 0.5453178882598877; 12; 12
5; 1; mcts; (1,2) -> (2, 3); 0; 2.6214652061462402; 12; 11
6; 0; minimax; (3,4) -> (1, 6); 1; 0.5595393180847168; 12; 11
6; 1; mcts; (0,7) -> (2, 5); 1; 2.1135435104370117; 12; 10
7; 0; minimax; (6,7) -> (5, 6); 0; 0.40557241439819336; 11; 10
7; 1; mcts; (2,3) -> (3, 2); 0; 3.111927032470703; 11; 10
8; 0; minimax; (5,0) -> (4, 1); 0; 0.8138604164123535; 11; 10
8; 1; mcts; (1,4) -> (2, 3); 0; 3.216217517852783; 11; 10
9; 0; minimax; (7,6) -> (6, 7); 0; 0.4409499168395996; 11; 10
9; 1; mcts; (0,3) -> (1, 4); 0; 3.048063278198242; 11; 10
10; 0; minimax; (6,5) -> (5, 4); 0; 0.38808703422546387; 11; 10
10; 1; mcts; (3,2) -> (5, 0); 1; 3.2984066009521484; 11; 10
11; 0; minimax; (7,4) -> (6, 5); 0; 0.2758300304412842; 10; 10
11; 1; mcts; (2,3) -> (3, 4); 0; 2.6756951808929443; 10; 10
12; 0; minimax; (5,6) -> (4, 5); 0; 0.2798323631286621; 10; 10
12; 1; mcts; (1,4) -> (2, 3); 0; 3.3406295776367188; 10; 10
13; 0; minimax; (6,7) -> (5, 6); 0; 0.24833941459655762; 10; 10
13; 1; mcts; (2,1) -> (3, 2); 0; 2.9035050868988037; 10; 10
14; 0; minimax; (6,3) -> (5, 2); 0; 0.08155155181884766; 10; 10
14; 1; mcts; (1,0) -> (2, 1); 0; 3.0649361610412598; 10; 10
15; 0; minimax; (5,4) -> (4, 3); 0; 0.06682753562927246; 10; 10
15; 1; mcts; (0,5) -> (1, 4); 0; 2.258206844329834; 10; 10
16; 0; minimax; (3,0) -> (1, 2); 1; 0.0492856502532959; 10; 10
16; 1; mcts; (3,6) -> (5, 4); 1; 2.1946799755096436; 10; 9
17; 0; minimax; (4,3) -> (2, 1); 1; 0.1912388801574707; 9; 9
17; 1; mcts; (3,4) -> (4, 5); 0; 2.071699857711792; 9; 8
18; 0; minimax; (6,5) -> (4, 3); 1; 0.37084412574768066; 9; 8
18; 1; mcts; (4,5) -> (6, 7); 1; 2.428924083709717; 9; 7
19; 0; minimax; (4,3) -> (3, 4); 0; 0.19298315048217773; 8; 7
19; 1; mcts; (6,7) -> (7, 6); 0; 2.20133113861084; 8; 7
20; 0; minimax; (3,4) -> (1, 6); 1; 0.19695448875427246; 8; 7
20; 1; mcts; (1,4) -> (2, 5); 0; 2.1350901126861572; 8; 6
21; 0; minimax; (4,7) -> (3, 6); 0; 0.2338712215423584; 8; 6
21; 1; mcts; (2,5) -> (3, 4); 0; 1.8319988250732422; 8; 6
22; 0; minimax; (5,2) -> (4, 3); 0; 0.22768616676330566; 8; 6
