Turn; Color; AI; Move; Skip; Time; Num. Reds; Num. Whites 
1; 1; mcts; (2,3) -> (3, 4); 0; 7.614651679992676; 12; 12
2; 0; minimax; (5,6) -> (4, 7); 0; 0.407609224319458; 12; 12
2; 1; mcts; (2,1) -> (3, 2); 0; 8.890364408493042; 12; 12
3; 0; minimax; (6,7) -> (5, 6); 0; 0.8675229549407959; 12; 12
3; 1; mcts; (3,4) -> (4, 5); 0; 11.841736555099487; 12; 12
4; 0; minimax; (5,6) -> (3, 4); 1; 0.6168630123138428; 12; 12
4; 1; mcts; (2,5) -> (3, 6); 0; 9.888301372528076; 12; 11
5; 0; minimax; (5,4) -> (4, 3); 0; 0.9887661933898926; 12; 11
5; 1; mcts; (1,4) -> (2, 5); 0; 8.42180061340332; 12; 11
6; 0; minimax; (7,6) -> (6, 7); 0; 0.598907470703125; 12; 11
6; 1; mcts; (3,6) -> (4, 5); 0; 7.808583498001099; 12; 11
7; 0; minimax; (6,5) -> (5, 4); 0; 0.7387604713439941; 12; 11
7; 1; mcts; (1,0) -> (2, 1); 0; 8.028808355331421; 12; 11
8; 0; minimax; (5,4) -> (1, 4); 2; 0.6057438850402832; 12; 11
8; 1; mcts; (0,5) -> (2, 3); 1; 8.836327075958252; 12; 9
9; 0; minimax; (3,4) -> (2, 5); 0; 0.3705151081085205; 11; 9
9; 1; mcts; (0,3) -> (1, 4); 0; 7.803749322891235; 11; 9
10; 0; minimax; (2,5) -> (0, 3); 1; 0.5613358020782471; 11; 9
10; 1; mcts; (0,1) -> (1, 0); 0; 7.311611652374268; 11; 8
11; 0; minimax; (7,4) -> (6, 5); 0; 0.497039794921875; 11; 8
11; 1; mcts; (3,2) -> (7, 6); 2; 6.972880840301514; 11; 8
12; 0; minimax; (6,7) -> (5, 6); 0; 0.31945204734802246; 9; 8
